01000001,[['Toán', '8.4'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '6'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01000002,[['Toán', '7.2'], ['Văn', '8.5'], ['Sử', '8.75'], ['Địa', '6.5'], ['Ngoại ngữ', '9.2'], ['GDCD', '8.5']]
01000003,[['Văn', '6.5'], ['Sử', '9.25'], ['Địa', '7.5']]
01000004,[['Toán', '7.8'], ['Văn', '8.25'], ['Sử', '4.5'], ['Địa', '6.25'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.25']]
01000005,[['Toán', '7.2'], ['Văn', '8'], ['Sử', '4.75'], ['Địa', '6.75'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.25']]
01000006,[['Toán', '7.6'], ['Văn', '9.25'], ['Sử', '8.5'], ['Địa', '7.25'], ['Ngoại ngữ', '9'], ['GDCD', '9.75']]
01000007,[['Toán', '5.6'], ['Văn', '7'], ['Sử', '4.75'], ['Địa', '5.75'], ['Ngoại ngữ', '6.4'], ['GDCD', '8']]
01000008,[['Toán', '7.2'], ['Lí', '5'], ['Hóa', '3.5'], ['Sinh', '1.75'], ['Văn', '7.5'], ['Ngoại ngữ', '6']]
01000009,[['Toán', '7.6'], ['Văn', '8.25'], ['Sử', '6.5'], ['Địa', '7.25'], ['Ngoại ngữ', '9'], ['GDCD', '9.5']]
01000010,[['Toán', '8.2'], ['Văn', '9.5'], ['Sử', '7.25'], ['Địa', '6.5'], ['Ngoại ngữ', '7'], ['GDCD', '8.75']]
01000011,[['Toán', '5.6'], ['Lí', '5.75'], ['Hóa', '3.5'], ['Sinh', '4.5'], ['Văn', '7'], ['Ngoại ngữ', '8.4']]
01000012,[['Toán', '7.2'], ['Văn', '8.5'], ['Sử', '8'], ['Địa', '7.75'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.25']]
01000013,[['Toán', '7.4'], ['Lí', '8'], ['Hóa', '3.75'], ['Sinh', '5.75'], ['Văn', '5.75'], ['Ngoại ngữ', '8']]
01000014,[['Toán', '7'], ['Văn', '4.5'], ['Sử', '4.25'], ['Địa', '6.5'], ['GDCD', '8.25']]
01000015,[['Toán', '8.2'], ['Lí', '5.75'], ['Hóa', '7.5'], ['Sinh', '7.75'], ['Văn', '8.5'], ['Ngoại ngữ', '9.2']]
01000016,[['Toán', '8.2'], ['Văn', '8.75'], ['Sử', '6.5'], ['Địa', '6.25'], ['Ngoại ngữ', '8.4'], ['GDCD', '9.5']]
01000017,[['Toán', '7.4'], ['Lí', '3'], ['Hóa', '6.5'], ['Sinh', '6.75'], ['Văn', '7.75'], ['Ngoại ngữ', '6.6']]
01000018,[['Văn', '7'], ['Sử', '7.5'], ['Địa', '7.25'], ['Ngoại ngữ', '2.8']]
01000019,[['Toán', '8.4'], ['Văn', '9'], ['Sử', '8.25'], ['Địa', '7.25'], ['Ngoại ngữ', '9.4'], ['GDCD', '8.5']]
01000020,[['Toán', '8.2'], ['Văn', '8.75'], ['Sử', '8.75'], ['Địa', '9'], ['Ngoại ngữ', '7.2'], ['GDCD', '9.75']]
01000021,[['Toán', '8.2'], ['Văn', '8.25'], ['Sử', '5.75'], ['Địa', '6.5'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.25']]
01000022,[['Toán', '8'], ['Văn', '9.25'], ['Sử', '6.5'], ['Địa', '6.5'], ['Ngoại ngữ', '9'], ['GDCD', '9.25']]
01000023,[['Toán', '8.6'], ['Văn', '8.5'], ['Sử', '8.75'], ['Địa', '7.5'], ['Ngoại ngữ', '9.8'], ['GDCD', '8.75']]
01000024,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '8.75'], ['Địa', '7.25'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.25']]
01000025,[['Toán', '6.6'], ['Văn', '8.25'], ['Sử', '6.25'], ['Địa', '6.5'], ['Ngoại ngữ', '8'], ['GDCD', '8.25']]
01000026,[['Toán', '7.4'], ['Văn', '9'], ['Sử', '5.25'], ['Địa', '6'], ['Ngoại ngữ', '8.8'], ['GDCD', '8.5']]
01000027,[['Toán', '8'], ['Lí', '5'], ['Hóa', '8'], ['Sinh', '8'], ['Văn', '8'], ['Ngoại ngữ', '9.2']]
01000028,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '6.25'], ['Địa', '7.75'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.25']]
01000029,[['Toán', '2.8'], ['Văn', '6.75'], ['Sử', '5.25'], ['Địa', '5.75']]
01000030,[['Toán', '7.2'], ['Văn', '8.75'], ['Sử', '8'], ['Địa', '5.75'], ['Ngoại ngữ', '8.6'], ['GDCD', '9']]
01000031,[['Toán', '5'], ['Lí', '5.5'], ['Hóa', '5.25'], ['Sinh', '4.75'], ['Văn', '6.5'], ['Ngoại ngữ', '3.2']]
01000032,[['Toán', '8.2'], ['Lí', '8.25'], ['Hóa', '7.75'], ['Sinh', '6.25'], ['Văn', '6.25'], ['Ngoại ngữ', '5.4']]
01000033,[['Toán', '7.2'], ['Văn', '8'], ['Sử', '5'], ['Địa', '5.25'], ['Ngoại ngữ', '9'], ['GDCD', '7']]
01000034,[['Toán', '7.6'], ['Văn', '9'], ['Sử', '7'], ['Địa', '6.5'], ['Ngoại ngữ', '6.6'], ['GDCD', '8.5']]
01000035,[['Toán', '5'], ['Văn', '3.5'], ['Sử', '4.5'], ['Địa', '5.5']]
01000036,[['Toán', '7.8'], ['Lí', '6.25'], ['Hóa', '6.5'], ['Sinh', '6.5'], ['Văn', '7.75'], ['Ngoại ngữ', '5']]
01000037,[['Văn', '8.5'], ['Sử', '9.25'], ['Địa', '9.25']]
01000038,[['Toán', '7.8'], ['Lí', '7.75'], ['Hóa', '7.25'], ['Sinh', '7.75'], ['Văn', '8'], ['Ngoại ngữ', '9.2']]
01000039,[['Toán', '5.8'], ['Văn', '9.25'], ['Sử', '6'], ['Địa', '7'], ['GDCD', '9.25']]
01000040,[['Toán', '7.2'], ['Văn', '8'], ['Sử', '5.25'], ['Địa', '6.5'], ['Ngoại ngữ', '8.6'], ['GDCD', '9']]
01000041,[['Toán', '8.6'], ['Lí', '6'], ['Hóa', '8.5'], ['Sinh', '8.75'], ['Văn', '7.75'], ['Ngoại ngữ', '9.4']]
01000042,[['Toán', '7.6'], ['Văn', '9.5'], ['Sử', '6.75'], ['Địa', '5.25'], ['Ngoại ngữ', '7.4'], ['GDCD', '8.25']]
01000043,[['Toán', '7'], ['Văn', '8'], ['Sử', '7.25'], ['Địa', '5.25'], ['Ngoại ngữ', '7.6'], ['GDCD', '8.25']]
01000044,[['Toán', '7.6'], ['Lí', '7.25'], ['Hóa', '8.5'], ['Sinh', '5.5'], ['Văn', '6.5'], ['Ngoại ngữ', '6.2']]
01000045,[['Toán', '3.8'], ['Văn', '7.5'], ['Sử', '6.5'], ['Địa', '5.5'], ['Ngoại ngữ', '4.2'], ['GDCD', '8.25']]
01000046,[['Toán', '7.8'], ['Lí', '6.75'], ['Hóa', '7.5'], ['Sinh', '6.5'], ['Văn', '4'], ['Ngoại ngữ', '9.4']]
01000047,[['Toán', '8.6'], ['Lí', '7.75'], ['Hóa', '5.5'], ['Sinh', '4'], ['Văn', '7'], ['Ngoại ngữ', '8.6']]
01000048,[['Toán', '5.4'], ['Văn', '8'], ['Sử', '4'], ['Địa', '5.25'], ['Ngoại ngữ', '7.4'], ['GDCD', '7']]
01000049,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '7.25'], ['Địa', '5.5'], ['Ngoại ngữ', '8'], ['GDCD', '9']]
01000050,[['Toán', '8.6'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '5.75'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.25']]
01000051,[['Toán', '8.6'], ['Văn', '8.75'], ['Sử', '7.25'], ['Địa', '6.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '8.75']]
01000052,[['Toán', '7.4'], ['Văn', '9'], ['Sử', '6.75'], ['Địa', '6.75'], ['Ngoại ngữ', '8.2'], ['GDCD', '9']]
01000053,[['Toán', '8.2'], ['Văn', '8.5'], ['Sử', '4.5'], ['Địa', '6.5'], ['Ngoại ngữ', '8.8'], ['GDCD', '9.75']]
01000054,[['Văn', '6.25'], ['Sử', '5.75'], ['Địa', '6.25']]
01000055,[['Toán', '7'], ['Văn', '8.25'], ['Sử', '8'], ['Địa', '7.5'], ['Ngoại ngữ', '7'], ['GDCD', '9.75']]
01000056,[['Toán', '6'], ['Văn', '8'], ['Sử', '6.75'], ['Địa', '5.25'], ['Ngoại ngữ', '7.4'], ['GDCD', '8.25']]
01000057,[['Toán', '7.6'], ['Văn', '9.25'], ['Sử', '6.25'], ['Địa', '6'], ['Ngoại ngữ', '9'], ['GDCD', '9.25']]
01000058,[['Toán', '7.8'], ['Lí', '6.75'], ['Hóa', '8'], ['Sinh', '4.75'], ['Văn', '5.5'], ['Ngoại ngữ', '7.4']]
01000059,[['Toán', '8.2'], ['Lí', '6.75'], ['Hóa', '5.5'], ['Sinh', '8.25'], ['Văn', '8'], ['Ngoại ngữ', '8.8']]
01000060,[['Toán', '6'], ['Văn', '7.5'], ['Sử', '5.5'], ['Địa', '5.5'], ['Ngoại ngữ', '8'], ['GDCD', '6.5']]
01000061,[['Văn', '6.75'], ['Sử', '7.75'], ['Địa', '7.25']]
01000062,[['Toán', '6.4'], ['Văn', '4'], ['Ngoại ngữ', '5.4']]
01000063,[['Toán', '7.4'], ['Lí', '6.25'], ['Hóa', '5'], ['Sinh', '4.75'], ['Văn', '7.75'], ['Ngoại ngữ', '9']]
01000064,[['Toán', '7.8'], ['Văn', '7.75'], ['Sử', '7'], ['Địa', '5'], ['Ngoại ngữ', '9.2'], ['GDCD', '7.75']]
01000065,[['Toán', '8.2'], ['Lí', '7'], ['Hóa', '1.75'], ['Sinh', '3.5'], ['Văn', '6.5'], ['Ngoại ngữ', '8.8']]
01000066,[['Toán', '7.2'], ['Văn', '6.5'], ['Sử', '3.5'], ['Địa', '4']]
01000067,[['Toán', '8'], ['Văn', '9.5'], ['Sử', '6.5'], ['Địa', '6.25'], ['Ngoại ngữ', '8.8'], ['GDCD', '7.75']]
01000068,[['Toán', '8.4'], ['Văn', '9'], ['Sử', '8.25'], ['Địa', '7.75'], ['Ngoại ngữ', '9.6'], ['GDCD', '10']]
